1721068060.96283,SUCCESS,add,1.0,2.0,3.0
1721068061.9677918,SUCCESS,sub,1.0,2.0,-1.0
1721068062.9754918,SUCCESS,mlp,1.0,2.0,2.0
1721068063.9821603,SUCCESS,div,1.0,2.0,0.5
1721068068.0264852,SUCCESS,add,1.0,2.0,3.0
1721068069.031704,SUCCESS,sub,1.0,2.0,-1.0
1721068070.0384455,SUCCESS,mlp,1.0,2.0,2.0
1721068071.0453415,SUCCESS,div,1.0,2.0,0.5
1721068075.0792012,SUCCESS,add,1.0,2.0,3.0
1721068076.0876012,SUCCESS,sub,1.0,2.0,-1.0
1721068077.0953462,SUCCESS,mlp,1.0,2.0,2.0
1721068078.1014647,SUCCESS,div,1.0,2.0,0.5
1721068082.1356885,SUCCESS,add,1.0,2.0,3.0
1721068083.1407886,SUCCESS,sub,1.0,2.0,-1.0
1721068084.1459622,SUCCESS,mlp,1.0,2.0,2.0
1721068085.1538274,SUCCESS,div,1.0,2.0,0.5
1721068089.1949925,SUCCESS,add,1.0,2.0,3.0
1721068090.2013521,SUCCESS,sub,1.0,2.0,-1.0
1721068091.2071688,SUCCESS,mlp,1.0,2.0,2.0
1721068092.2131767,SUCCESS,div,1.0,2.0,0.5
1721068096.2548413,SUCCESS,add,1.0,2.0,3.0
1721068097.2606666,SUCCESS,sub,1.0,2.0,-1.0
1721068098.2651646,SUCCESS,mlp,1.0,2.0,2.0
1721068099.2706473,SUCCESS,div,1.0,2.0,0.5
1721068103.3098733,SUCCESS,add,1.0,2.0,3.0
1721068104.315525,SUCCESS,sub,1.0,2.0,-1.0
1721068105.3239872,SUCCESS,mlp,1.0,2.0,2.0
1721068106.3321917,SUCCESS,div,1.0,2.0,0.5
1721068110.3627818,SUCCESS,add,1.0,2.0,3.0
1721068111.3664045,SUCCESS,sub,1.0,2.0,-1.0
1721068112.3713524,SUCCESS,mlp,1.0,2.0,2.0
1721068113.3793979,SUCCESS,div,1.0,2.0,0.5
1721068117.4158924,SUCCESS,add,1.0,2.0,3.0
1721068118.4211524,SUCCESS,sub,1.0,2.0,-1.0
1721068119.426504,SUCCESS,mlp,1.0,2.0,2.0
1721068120.4339132,SUCCESS,div,1.0,2.0,0.5
1721068124.4682963,SUCCESS,add,1.0,2.0,3.0
1721068125.4731789,SUCCESS,sub,1.0,2.0,-1.0
1721068126.4787066,SUCCESS,mlp,1.0,2.0,2.0
1721068127.4868336,SUCCESS,div,1.0,2.0,0.5
1721068131.5234432,SUCCESS,add,1.0,2.0,3.0
1721068132.5301125,SUCCESS,sub,1.0,2.0,-1.0
1721068133.5363626,SUCCESS,mlp,1.0,2.0,2.0
1721068134.5419,SUCCESS,div,1.0,2.0,0.5
1721068138.5729759,SUCCESS,add,1.0,2.0,3.0
1721068139.5785758,SUCCESS,sub,1.0,2.0,-1.0
1721068140.5856104,SUCCESS,mlp,1.0,2.0,2.0
1721068141.590754,SUCCESS,div,1.0,2.0,0.5
1721068145.626276,SUCCESS,add,1.0,2.0,3.0
1721068146.631701,SUCCESS,sub,1.0,2.0,-1.0
1721068147.6369982,SUCCESS,mlp,1.0,2.0,2.0
1721068148.6410208,SUCCESS,div,1.0,2.0,0.5
1721068152.6706061,SUCCESS,add,1.0,2.0,3.0
